,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
151,92.0,92400.0,1930.0,1,100.0,61.6,2.8,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,307.0,149.0,40.661061,-73.986534
152,70.0,121200.0,1920.0,1,100.0,61.1,4.2,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,301.0,535.0,40.706023,-73.961476
153,62.0,109200.0,1930.0,1,100.0,58.0,3.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1516.2,316.0,918.0,40.660306,-73.907355
154,43.0,72000.0,1914.0,1,100.0,86.5,6.2,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1461.6,312.0,244.0,40.621871,-73.987396
155,79.0,100800.0,1955.0,1,100.0,60.8,5.8,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,302.0,231.0,40.68505,-73.960659
156,68.0,138125.0,1939.0,1,100.0,88.6,4.4,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1986.5,302.0,2901.0,40.695633,-73.978215
157,86.0,202800.0,1959.0,1,100.0,63.0,4.3,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,301.0,529.0,40.703624,-73.953146
158,76.0,116400.0,1904.0,1,100.0,60.7,4.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1656.4,310.0,160.0,40.618415,-74.028842
159,67.0,114000.0,1907.0,1,100.0,60.2,5.8,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,9538.0,316.0,908.0,40.66896,-73.904726
160,27.0,184800.0,1907.0,1,100.0,97.7,8.3,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1463.0,314.0,772.0,40.632562,-73.954724
170,57.0,122583.0,1930.0,1,100.0,71.9,8.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,12867.0,310.0,134.0,40.630843,-74.01913
171,62.0,103200.0,1911.0,1,100.0,62.9,5.8,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,75344.28999999921,305.0,1184.0,40.68618,-73.869625
172,64.0,96000.0,1950.0,1,100.0,70.6,3.4,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,16625.1,305.0,1130.0,40.665798,-73.897723
173,80.0,110400.0,1930.0,1,100.0,60.2,4.2,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,6083.3,310.0,196.0,40.624611,-74.005378
174,38.0,153600.0,1921.0,1,100.0,90.6,6.6,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,9371.3,317.0,856.0,40.648215,-73.946374
175,43.0,96000.0,1923.0,1,100.0,75.5,8.4,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,8757.4,313.0,328.0,40.57790076,-74.000194
176,53.0,86400.0,1925.0,1,100.0,89.0,4.2,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,4834.2,308.0,359.0,40.672005,-73.924329
177,43.0,136800.0,1959.0,1,100.0,88.6,4.6,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,3452.4,305.0,1116.0,40.666417,-73.876563
178,82.0,84000.0,1930.0,1,100.0,59.4,3.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,318.0,652.0,40.613353,-73.930129
179,76.0,96000.0,1925.0,1,100.0,58.3,4.5,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5137.5,313.0,314.0,40.587616,-73.985948
180,87.0,145200.0,1925.0,1,100.0,59.7,4.2,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2803.8,312.0,230.0,40.634875,-73.981528
181,77.0,105600.0,1931.0,1,100.0,64.1,4.5,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,315.0,420.0,40.608862,-73.965058
182,86.0,102000.0,1964.0,1,100.0,52.0,2.9,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,301.0,505.0,40.707104,-73.945475
183,92.0,106800.0,1931.0,1,100.0,45.5,4.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,6960.1,301.0,491.0,40.702392,-73.941801
184,93.0,166800.0,1957.0,1,100.0,40.2,4.8,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,302.0,211.0,40.696324,-73.97578
185,88.0,190800.0,1930.0,1,100.0,54.4,4.2,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,316.0,922.0,40.656068,-73.907245
186,63.0,104400.0,1931.0,1,100.0,76.3,4.1,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,35.3,306.0,131.0,40.67634,-73.977367
