,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
135,83.0,92400.0,1930,1,100,69.6,4.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,307.0,149.0,-73.986534,40.661061
136,76.0,72000.0,1914,1,100,57.0,4.4,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,110.6,3.0,0,0,312.0,244.0,-73.987396,40.621871
137,78.0,100800.0,1955,1,100,62.5,5.5,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,2.0,0,0,302.0,231.0,-73.960659,40.68505
138,79.0,138125.0,1939,1,100,75.7,3.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,317.2,3.0,0,0,302.0,2901.0,-73.978215,40.695633
139,89.0,202800.0,1959,1,100,57.6,4.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,301.0,529.0,-73.953146,40.703624
140,67.0,116400.0,1904,1,100,69.7,4.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,427.1,3.0,0,0,310.0,160.0,-74.028842,40.618415
141,77.0,114000.0,1907,1,100,52.4,4.8,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1081.2,3.0,0,0,316.0,908.0,-73.904726,40.66896
142,47.0,184800.0,1907,1,100,76.3,6.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,159.3,3.0,0,0,314.0,772.0,-73.954724,40.632562
151,60.0,122583.0,1930,1,100,68.6,8.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,654.6,3.0,0,0,310.0,134.0,-74.01913,40.630843
152,55.0,103200.0,1911,1,100,69.0,5.5,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1570.2,3.0,0,0,305.0,1184.0,-73.869625,40.68618
153,85.0,96000.0,1950,1,100,49.7,2.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,617.1,3.0,0,0,305.0,1130.0,-73.897723,40.665798
154,88.0,110400.0,1930,1,100,53.2,3.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1.1,3.0,0,0,310.0,196.0,-74.005378,40.624611
155,47.0,153600.0,1921,1,100,71.6,7.3,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1306.1,3.0,0,0,317.0,856.0,-73.946374,40.648215
156,61.0,96000.0,1923,1,100,62.5,6.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,928.3,3.0,0,0,313.0,328.0,-74.000194,40.578207724799995
157,49.0,86400.0,1925,1,100,96.2,3.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,97.2,3.0,0,0,308.0,359.0,-73.924329,40.672005
158,62.0,136800.0,1959,1,100,76.8,2.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,202.1,3.0,0,0,305.0,1116.0,-73.876563,40.666417
159,93.0,84000.0,1930,1,100,44.8,2.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,318.0,652.0,-73.930129,40.613353
