,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
0,80.0,679759.0,1982,1,55.0,50.1,10.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,119.0,40.756631,-73.982826
1,68.0,366528.0,1956,1,100.0,95.2,13.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,7310.6,106.0,88.0,40.750698,-73.974306
2,72.0,577534.0,1989,1,95.0,67.4,12.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,125.0,40.75831,-73.982504
3,63.0,394646.0,1961,1,100.0,99.4,13.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,106.0,90.0,40.753074,-73.972753
4,46.0,966147.800000002,1999,1,100.0,100.2,20.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,119.0,40.756181,-73.986244
5,74.0,577266.0,1987,1,100.0,72.3,14.2,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,16709.2,106.0,92.0,40.752424,-73.97532
6,75.0,705197.0,1994,1,100.0,87.9,19.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,21750.4,105.0,102.0,40.75745,-73.973798
7,65.0,966147.800000002,1967,1,90.0,105.1,15.6,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,17994.7,101.0,7.0,40.709043,-74.010626
8,79.0,966147.800000002,1928,1,100.0,74.3,11.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,56.0,40.743023,-73.986402
9,66.0,885474.0,1968,1,60.0,69.6,11.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,4235.5,101.0,7.0,40.704553,-74.006636
10,92.0,966147.800000002,1986,1,100.0,50.9,8.8,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,21334.0,101.0,39.0,40.720659,-74.010098
11,76.0,838075.0,1968,1,100.0,73.7,15.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,119.0,40.755942,-73.983324
15,54.0,966147.800000002,1974,1,100.0,99.3,11.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,96.0,40.757004,-73.982526
16,74.0,646809.0,1959,1,60.0,73.3,13.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,15633.1,106.0,92.0,40.753104,-73.972757
18,88.0,914761.4,1982,1,95.0,87.9,17.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,26628.1,105.0,102.0,40.760107,-73.974768
19,78.0,966147.800000002,1972,1,100.0,81.4,13.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,27739.6,101.0,13.0,40.709589,-74.010186
20,55.13228165660345,920504.0,2004,1,100.0,122.9,18.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,50650.25600000001,104.0,145.0,40.767782,-73.982217
21,61.0,966147.800000002,1970,1,100.0,105.0,15.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,50650.25600000001,101.0,9.0,40.70443807,-74.012562
22,55.0,966147.800000002,1967,1,80.0,107.6,18.4,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,92.0,40.754826,-73.975683
23,75.0,966147.800000002,2003,1,100.0,100.2,22.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,26674.1,105.0,82.0,40.752236,-73.979712
24,74.0,966147.800000002,1971,1,85.0,90.1,14.6,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,31824.6,105.0,96.0,40.755352,-73.983732
25,77.0,966147.800000002,1986,1,100.0,84.3,17.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,32292.6,101.0,12905.530000000088,40.711425,-74.01322886
26,75.0,966147.800000002,1986,1,90.0,89.8,17.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,48596.2,101.0,12905.530000000088,40.711537,-74.01322886
27,77.0,966147.800000002,1986,1,95.0,81.3,16.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,43004.2,101.0,12905.530000000088,40.714529,-74.01322886
28,62.0,966147.800000002,1970,1,100.0,135.4,8.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,50650.25600000001,105.0,101.0,40.751098,-73.992926
29,70.0,966147.800000002,1965,1,95.0,76.3,14.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,20269.2,105.0,101.0,40.750017,-73.991345
30,70.0,923733.0,1964,1,100.0,89.4,12.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,15435.1,106.0,82.0,40.750504,-73.978865
31,60.0,437052.0,1970,1,100.0,106.0,15.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,17936.2,105.0,137.0,40.765015,-73.980416
32,55.13228165660345,230675.0,1957,1,60.0,73.3,10.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,104.0,40.760703,-73.975634
33,65.0,940848.0,2003,1,100.0,139.7,30.0,0.0,84.7,0.0,0.0,0.0,0.45474850000000006,0.1636301881821998,0.0,0.0,100.0,34419.2,106.0,11203.0,40.761887,-73.968421
37,68.0,966147.800000002,2003,1,100.0,60.7,7.256123539601224,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,20885.0,105.0,113.0,40.755915,-73.986681
41,77.0,966147.800000002,1983,1,100.0,93.6,18.4,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,14997.6,101.0,21.0,40.713767,-74.011925
42,60.0,268487.0,1979,1,85.0,86.6,18.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,4596.4,105.0,104.0,40.759789,-73.976544
43,44.0,840623.0,1927,1,100.0,192.9,4.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,22068.3,105.0,96.0,40.75379,-73.981599
44,72.0,762933.0,1955,1,100.0,79.1,13.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,14018.5,105.0,102.0,40.756802,-73.974271
45,70.0,702025.0,1951,1,80.0,71.4,12.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,16682.9,106.0,92.0,40.751049,-73.974252
46,45.0,966147.800000002,1963,1,85.0,114.7,14.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,50516.4,105.0,92.0,40.754162,-73.976557
51,51.0,966147.800000002,1968,1,100.0,144.9,18.4,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,29582.2,105.0,100.0,40.758171,-73.973246
53,64.0,448402.0,1922,1,85.0,79.0,13.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,9198.4,105.0,94.0,40.755018,-73.975568
54,84.0,237258.0,1955,1,100.0,53.4,11.6,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2473.7,105.0,94.0,40.756808,-73.976343
55,48.0,518623.0,1972,1,80.0,107.1,11.3,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,7683.0,105.0,56.0,40.742616,-73.986698
56,80.0,250074.0,1958,1,85.0,49.7,10.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2165.2,106.0,80.0,40.750245,-73.976909
57,51.0,966147.800000002,1960,1,100.0,103.7,14.4,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,114.11500000000001,101.0,7.0,40.705892,-74.007181
58,57.0,420888.0,1964,1,100.0,81.7,10.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,3448.3,106.0,100.0,40.75903,-73.970321
59,78.0,324040.0,1980,1,100.0,55.5,12.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,4799.5,105.0,100.0,40.756651,-73.972264
60,53.0,400143.0,1965,1,80.0,91.5,14.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,9942.2,101.0,9.0,40.705189,-74.011505
61,65.0,322760.0,1964,1,100.0,89.4,10.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,101.0,9.0,40.70443807,-74.013164
62,60.0,314371.0,1963,1,100.0,91.0,11.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,3242.0,106.0,98.0,40.756688,-73.970128
63,52.0,849807.0,1969,1,100.0,98.0,14.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,10815.4,101.0,9.0,40.70443807,-74.01322886
64,78.0,360242.0,1986,1,100.0,85.9,20.4,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,2814.8,105.0,102.0,40.758814,-73.973989
65,76.0,778712.0,1926,1,100.0,64.1,12.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,105.0,109.0,40.753612,-73.992417
70,80.0,966147.800000002,1915,1,85.0,59.6,10.1,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,20332.1,101.0,7.0,40.708546,-74.011041
71,79.0,242426.0,1959,1,100.0,71.0,16.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,4287.7,105.0,94.0,40.754467,-73.979455
72,62.0,97821.0,2001,1,100.0,101.2,20.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1857.6,105.0,11202.0,40.762621,-73.973128
73,62.0,97821.0,2001,1,100.0,101.2,20.9,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1857.6,105.0,11202.0,40.762621,-73.973128
