,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
0,83.0,681611.0,1982,1,55,41.7,9.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,119.0,-73.982826,40.756631
1,74.0,577534.0,1989,1,95,56.0,10.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,7,0,0,105.0,125.0,-73.982504,40.75831
2,73.0,390878.0,1961,1,100,70.4,10.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,5,0,0,106.0,90.0,-73.972753,40.753074
3,53.0,920386.9700000044,1999,1,100,78.7,14.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,1,0,105.0,119.0,-73.986244,40.756181
4,76.0,705197.0,1994,1,100,69.2,14.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,13105.9,3,0,0,105.0,102.0,-73.973798,40.75745
5,87.0,920386.9700000044,1967,1,90,45.6,13.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,26916.5,11,7,0,101.0,7.0,-74.010626,40.709043
6,75.0,920386.9700000044,1928,1,100,59.5,9.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,2,0,0,105.0,56.0,-73.986402,40.743023
7,77.0,838075.0,1968,1,100,62.2,13.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,3,0,0,105.0,119.0,-73.983324,40.755942
10,60.0,920386.9700000044,1974,1,100,89.1,10.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,5,0,0,105.0,96.0,-73.982526,40.757004
13,87.0,920386.9700000044,1982,1,95,72.0,14.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,17340.7,5,0,0,105.0,102.0,-73.974768,40.760107
14,70.0,920386.9700000044,1972,1,100,67.3,11.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,32136.2,7,0,0,101.0,13.0,-74.010186,40.709589
16,55.0,920386.9700000044,1970,1,100,93.9,13.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,35897.8350000002,11,0,0,101.0,9.0,-74.012562,40.704275
17,45.0,920386.9700000044,1967,1,80,95.5,15.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,7,2,0,105.0,92.0,-73.975683,40.754826
18,74.0,920386.9700000044,2003,1,100,80.4,17.9,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,17477.8,7,0,0,105.0,82.0,-73.979712,40.752236
19,70.0,920386.9700000044,1971,1,75,64.2,10.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,15434.2,6,2,0,105.0,96.0,-73.983732,40.755352
20,75.0,920386.9700000044,1986,1,100,68.0,13.6,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,8814.6,4,0,0,101.0,14601.0,-74.01310054140001,40.711425
