,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,longitude,latitude,letters
0,83.0,681611.0,1982,1,55,41.7,9.5,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,4,0,0,-73.982826,40.756631,B
1,74.0,577534.0,1989,1,95,56.0,10.6,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,7,0,0,-73.982504,40.75831,B
2,73.0,390878.0,1961,1,100,70.4,10.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,5,0,0,-73.972753,40.753074,B
3,53.0,920386.9700000044,1999,1,100,78.7,14.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,6,1,0,-73.986244,40.756181,D
4,76.0,705197.0,1994,1,100,69.2,14.4,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,13105.9,3,0,0,-73.973798,40.75745,B
5,87.0,920386.9700000044,1967,1,90,45.6,13.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,26916.5,11,7,0,-74.010626,40.709043,A
6,75.0,920386.9700000044,1928,1,100,59.5,9.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,2,0,0,-73.986402,40.743023,B
7,77.0,838075.0,1968,1,100,62.2,13.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,3,0,0,-73.983324,40.755942,B
10,60.0,920386.9700000044,1974,1,100,89.1,10.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,5,0,0,-73.982526,40.757004,C
13,87.0,920386.9700000044,1982,1,95,72.0,14.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,17340.7,5,0,0,-73.974768,40.760107,A
14,70.0,920386.9700000044,1972,1,100,67.3,11.5,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,32136.2,7,0,0,-74.010186,40.709589,C
16,55.0,920386.9700000044,1970,1,100,93.9,13.1,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,35897.8350000002,11,0,0,-74.012562,40.704275,D
17,45.0,920386.9700000044,1967,1,80,95.5,15.6,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,7,2,0,-73.975683,40.754826,D
18,74.0,920386.9700000044,2003,1,100,80.4,17.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,17477.8,7,0,0,-73.979712,40.752236,B
19,70.0,920386.9700000044,1971,1,75,64.2,10.5,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,15434.2,6,2,0,-73.983732,40.755352,C
20,75.0,920386.9700000044,1986,1,100,68.0,13.6,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,8814.6,4,0,0,-74.01311166,40.711425,B
21,75.0,920386.9700000044,1986,1,90,66.9,14.4,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,21201.8,5,0,0,-74.01311166,40.711537,B
22,77.0,920386.9700000044,1986,1,95,68.9,12.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,29992.9,10,0,0,-74.01311166,40.714529,B
24,70.0,920386.9700000044,1965,1,40,58.1,9.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,12385.7,8,0,0,-73.991345,40.750017,C
25,70.0,580977.0,1964,1,100,72.2,10.5,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,10360.5,4,0,0,-73.978865,40.750504,C
26,64.0,437052.0,1970,1,95,87.6,12.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,11991.9,7,0,0,-73.980416,40.765015,C
28,65.0,920386.9700000044,2003,1,100,123.8,27.14799999999996,0.0,79.5,0.0,0.4234,0.4234,0.0,0.0,100.0,100.0,23829.4,10,0,0,-73.968421,40.761887,C
33,74.0,920386.9700000044,2003,1,100,52.7,10.813295580110498,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,11635.9,19,3,0,-73.986681,40.755915,B
36,65.0,276476.0,1979,1,90,77.3,15.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,5625.1,3,0,0,-73.976544,40.759789,C
37,73.0,840623.0,1927,1,95,86.6,5.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,11662.9,6,0,0,-73.981599,40.75379,B
38,77.0,762933.0,1955,1,100,58.7,9.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,9766.7,6,0,0,-73.974271,40.756802,B
39,71.0,702025.0,1951,1,100,60.7,11.0,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,14163.4,2,0,0,-73.974252,40.751049,B
40,51.0,920386.9700000044,1963,1,100,101.8,11.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,35897.8350000002,5,0,0,-73.976557,40.754162,D
43,53.0,920386.9700000044,1968,1,100,117.2,14.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,21522.8,8,0,0,-73.973246,40.758171,D
45,70.0,448402.0,1922,1,65,73.9,9.1,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,7275.4,3,0,0,-73.975568,40.755018,C
46,91.0,237258.0,1955,1,70,31.3,7.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,1932.2,4,0,0,-73.976343,40.756808,A
47,52.0,518623.0,1972,1,95,92.5,9.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,5659.2,5,0,0,-73.986698,40.742616,D
48,82.0,250074.0,1958,1,85,41.1,8.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,15,7,0,-73.976909,40.750245,B
49,54.0,920386.9700000044,1960,1,95,91.8,11.6,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,72.8,2,0,0,-74.007181,40.705892,D
50,64.0,420888.0,1964,1,65,65.6,10.0,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,3070.7,3,0,0,-73.970321,40.75903,C
51,81.0,324040.0,1980,1,100,46.1,10.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,16,7,0,-73.972264,40.756651,B
52,63.0,400143.0,1965,1,80,73.4,11.4,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,16,7,0,-74.011505,40.705189,C
