,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
1380,84.0,294123.0,1954,1,100.0,61.9,3.5,0.0,84.7,0.0,0.0,0.0,0.84998,0.0,60.0,0.204,80.0,10399.4,204.0,5902.0,40.825315,-73.923522
1411,62.0,107477.0,1940,1,100.0,90.2,3.1,0.0,84.7,0.0,0.0,0.0,0.87461,0.0,94.0,0.87461,0.0,5942.8252124221,205.0,217.0,40.849226,-73.913511
1423,99.0,87642.0,1940,1,100.0,52.7,3.1,0.0,84.7,0.0,0.0,0.0,1.06114,0.0,93.0,1.06114,0.0,5942.8252124221,206.0,393.0,40.849259,-73.883167
1424,48.0,66078.0,1940,1,100.0,102.5,4.5,0.0,84.7,0.0,0.0,0.0,1.18042,0.0,78.0,1.18042,0.0,6153.5,203.0,185.0,40.828534,-73.90436
1425,8.0,76268.0,1910,1,100.0,97.8,6.4,0.0,79.5,0.0,0.0,0.0,0.56535,0.0,35.0,0.45891,0.0,810.9,206.0,359.0,40.842378,-73.885315
1426,46.0,59446.0,1930,1,100.0,95.5,4.7,0.0,84.7,0.0,0.0,0.0,0.89157,0.0,53.0,0.89157,0.0,5942.8252124221,204.0,195.0,40.830975,-73.922916
1427,59.0,59446.0,1930,1,100.0,86.7,3.8,0.0,84.7,0.0,0.0,0.0,0.89157,0.0,53.0,0.89157,0.0,5318.6,204.0,195.0,40.830774,-73.923032
1462,78.0,69104.0,1926,1,100.0,63.1,5.4,0.0,84.7,0.0,0.0,0.0,0.95508,0.0,66.0,0.95508,100.0,5942.8252124221,207.0,40701.0,40.872853,-73.888752
1464,36.0,85610.0,1958,1,100.0,87.4,4.3,0.0,84.7,0.0,0.0,0.0,0.77094,0.0,66.0,0.77094,90.0,3859.8,204.0,18302.0,40.829613,-73.918321
1475,64.0,90650.0,1940,1,100.0,82.9,3.5,0.0,84.7,0.0,0.0,0.0,0.9487,0.0,86.0,0.9487,90.0,5643.4,207.0,257.0,40.860663,-73.913243
1476,61.0,70400.0,1931,1,100.0,81.4,3.5,0.0,84.7,0.0,0.0,0.0,0.9233,0.0,65.0,0.9233,90.0,4787.2,207.0,257.0,40.860342,-73.913674
1477,98.0,70400.0,1932,1,100.0,43.3,3.0,0.0,84.7,0.0,0.0,0.0,0.9233,0.0,65.0,0.9233,90.0,2143.0,207.0,257.0,40.860224,-73.913829
1478,57.0,154656.0,1963,1,100.0,77.5,6.4,0.0,84.7,0.0,0.0,0.0,1.02162,1.02162,0.0,0.0,90.0,10261.0,204.0,22703.0,40.844479,-73.911464
1479,70.0,202600.0,1952,2,100.0,82.4,4.3,0.0,84.7,0.0,0.0,0.0,1.11056,0.0,197.0,1.11056,90.0,15265.5,205.0,247.0,40.856704,-73.916191
1480,76.0,196432.0,1928,2,100.0,72.0,3.5,0.0,84.7,0.0,0.0,0.0,0.86035,0.0,169.0,0.86035,90.0,14574.3,204.0,189.0,40.831025,-73.927841
1481,55.13228165660345,69144.0,1951,1,100.0,84.4,5.6,0.0,84.7,0.0,0.0,0.0,1.38841,0.0,96.0,1.38841,90.0,3850.8,204.0,18302.0,40.827792,-73.920361
1482,89.0,87954.0,1963,1,100.0,59.7,3.5,0.0,84.7,0.0,0.0,0.0,0.85272,0.0,75.0,0.85272,90.0,5138.1,207.0,263.0,40.863664,-73.907437
1497,25.0,67986.0,2002,1,100.0,126.8,6.3,0.0,84.7,0.0,0.0,0.0,1.25026,0.0,85.0,1.25026,0.0,6624.9,203.0,125.0,40.82965,-73.892878
1500,28.0,51285.0,1925,1,100.0,121.3,5.4,0.0,84.7,0.0,0.0,0.0,1.03344,0.0,53.0,1.03344,90.0,6742.9,207.0,39901.0,40.862836,-73.89546
1502,55.13228165660345,73800.0,1930,1,100.0,77.6,5.0,0.0,84.7,0.0,0.0,0.0,0.90786,0.0,67.0,0.90786,90.0,5942.8252124221,207.0,423.0,40.875223,-73.879477
1506,55.13228165660345,58074.0,1930,1,100.0,81.8,5.0,0.0,84.7,0.0,0.0,0.0,0.96429,0.0,56.0,0.96429,90.0,4457.9,204.0,17901.0,40.835998,-73.916246
1558,67.0,94338.0,2009,1,100.0,76.6,5.7,0.0,84.7,0.0,0.0,0.0,0.95402,0.0,90.0,0.95402,90.0,5690.9,203.0,185.0,40.828264,-73.909054
1559,67.0,94338.0,2009,1,100.0,76.6,5.7,0.0,84.7,0.0,0.0,0.0,0.95402,0.0,90.0,0.95402,90.0,5690.9,203.0,185.0,40.828264,-73.909054
