,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,longitude,latitude,letters
1179,100.0,294123.0,1954.0,1,100.0,23.9,3.8,0.0,79.5,0.0,0.84998,0.0,60.0,0.204,80.0,90.0,9474.8,7.0,0,0,-73.923522,40.825315,A
1210,68.0,107477.0,1940.0,1,100.0,79.8,3.5,0.0,79.5,0.0,0.87461,0.0,94.0,0.87461,0.0,90.0,6415.4635607573155,9.0,0,0,-73.913511,40.849226,C
1221,99.0,87642.0,1940.0,1,100.0,49.0,3.5,0.0,79.5,0.0,1.06114,0.0,93.0,1.06114,0.0,80.0,6146.7,12.0,0,0,-73.883167,40.849259,A
1222,49.0,66078.0,1940.0,1,100.0,97.7,4.4,0.0,79.5,0.0,1.18042,0.0,78.0,1.18042,0.0,80.0,8292.2,9.0,0,0,-73.90436,40.828534,D
1223,8.0,76268.0,1910.0,1,100.0,98.4,5.8,0.0,79.5,0.0,0.574596,0.0,35.0,0.45891,0.0,80.0,7270.9,10.0,0,0,-73.885315,40.842378,D
1224,56.0,59446.0,1930.0,1,100.0,83.5,4.7,0.0,79.5,0.0,0.89157,0.0,53.0,0.89157,0.0,80.0,6973.3,9.0,0,0,-73.922916,40.830975,C
1225,55.0,59446.0,1930.0,1,100.0,86.4,3.8,0.0,79.5,0.0,0.89157,0.0,53.0,0.89157,0.0,80.0,6042.0,7.0,0,0,-73.923032,40.830774,D
1256,59.0,69104.0,1928.0,1,100.0,71.6,5.8,0.0,79.5,0.0,0.95508,0.0,66.0,0.95508,100.0,100.0,6415.4635607573155,19.0,0,0,-73.888752,40.872853,C
1267,63.0,90650.0,1940.0,1,100.0,79.4,3.8,0.0,79.5,0.0,0.9487,0.0,86.0,0.9487,90.0,100.0,6127.6,8.0,0,0,-73.913243,40.860663,C
1268,59.0,70400.0,1931.0,1,100.0,76.9,4.0,0.0,79.5,0.0,0.9233,0.0,65.0,0.9233,90.0,100.0,4711.6,8.0,0,0,-73.913674,40.860342,C
1269,97.0,70400.0,1932.0,1,100.0,43.3,3.3,0.0,79.5,0.0,0.9233,0.0,65.0,0.9233,90.0,100.0,4008.5,9.0,0,0,-73.913829,40.860224,A
1270,69.0,158530.0,1963.0,1,100.0,72.4,5.5,0.0,79.5,0.0,0.99666,0.99666,0.0,0.0,90.0,100.0,10387.4,6.0,0,0,-73.911464,40.844479,C
1271,77.0,202600.0,1952.0,2,100.0,73.8,4.3,0.0,79.5,0.0,1.11056,0.0,190.0,1.11056,90.0,100.0,18842.7,18.0,0,0,-73.916191,40.856704,B
