,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude,letters
48,75.0,375698.0,1988,1,95,11.3,0.0,6905637.348000004,9.5,3.5,0.0,79.5,0.0,0.0,1.59703,0.90498,0.90498,0.0,0.0,100.0,100.0,18233.1,5.0,0,0,105.0,137.0,-73.979813,40.764538,B
70,68.0,791127.7400000003,2000,1,100,6.7,0.6,5942430.6,2358.8880000000013,4.8,3.0,79.5,0.0,0.0,2.08771,1.13105,1.13105,0.0,0.0,100.0,100.0,4594.425778134381,14.0,0,0,104.0,117.0,-73.999917,40.761487,C
73,33.0,791127.7400000003,1980,1,100,8.1,0.9,6905637.348000004,2358.8880000000013,9.5,5.0,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,27102.450000000026,7.0,0,0,105.0,102.0,-73.975393,40.758114,D
87,77.0,791127.7400000003,1990,1,100,9.7,0.6,6905637.348000004,2358.8880000000013,5.3,2.7,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,27102.450000000026,2.0,0,0,105.0,131.0,-73.982095,40.762674,B
1090,58.519394179544754,155000.0,1909,1,100,7.0,0.0,2335522.2,1660.3,6.8,5.0,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,5095.1,4.0,0,0,109.0,205.0,-73.961907,40.810755,C
1091,85.0,320000.0,1960,1,100,7.5,0.7,2406817.4,1062.2,5.4,3.3,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,13881.0,3.0,0,0,108.0,11401.0,-73.968796,40.764308,B
1093,58.519394179544754,791127.7400000003,1918,1,90,5.1,0.0,6169475.4,47.9,5.1,0.0,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,27102.450000000026,3.0,0,0,105.0,101.0,-73.991486,40.749794,C
1095,15.0,401516.0,2008,1,100,9.0,0.7,4139299.7,1819.9,6.4,4.0,79.5,0.0,0.0,1.27517,0.62513,0.62513,0.0,0.0,100.0,100.0,13379.8,6.0,0,0,101.0,23501.0,-74.01096222,40.708006,D
1097,24.0,362939.0,2003,1,65,7.5,0.7,2731798.4,1292.8,5.6,3.5,79.5,0.0,0.0,1.35009,0.8073,0.8073,0.0,0.0,100.0,100.0,10194.5,5.0,0,0,101.0,23501.0,-74.01096222,40.716942,D
1098,12.0,269610.0,2000,1,100,11.6,0.6,3286555.3,870.8,6.3,3.1,79.5,0.0,0.0,1.35381,1.11643,1.11643,0.0,0.0,100.0,100.0,10789.2,8.0,6,0,105.0,58.0,-73.991927,40.74341,D
