,score,property_id,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
1197,100,2609681.34,294123.0,1954.0,1,100,1107928.5,170.2,305.0,79.5,0.0,0.0,1.39738,0.84998,0.0,60.0,0.204,80.0,90.0,9474.8,7.0,0,0,204.0,5902.0,-73.923522,40.825315
1229,68,2609681.34,107477.0,1940.0,1,100,375802.4,386.1,104.3,79.5,0.0,0.0,1.38634,0.87461,0.0,94.0,0.87461,0.0,90.0,4594.425778134381,9.0,0,0,205.0,217.0,-73.913511,40.849226
1241,99,2609681.34,87642.0,1940.0,1,100,308819.5,217.9,85.7,79.5,0.0,0.0,1.77997,1.06114,0.0,93.0,1.06114,0.0,80.0,6146.7,12.0,0,0,206.0,393.0,-73.883167,40.849259
1242,49,2609681.34,66078.0,1940.0,1,100,293728.0,288.1,82.2,79.5,0.0,0.0,1.6647,1.18042,0.0,78.0,1.18042,0.0,80.0,8292.2,9.0,0,0,203.0,185.0,-73.90436,40.828534
1243,8,2609681.34,76268.0,1910.0,1,100,440435.4,318.9,119.4,79.5,0.0,0.0,0.7631076,0.5759018,0.0,35.0,0.45891,0.0,80.0,7270.9,10.0,0,0,206.0,359.0,-73.885315,40.842378
1244,56,2609681.34,59446.0,1930.0,1,100,280914.6,211.4,77.9,79.5,0.0,0.0,1.48034,0.89157,0.0,53.0,0.89157,0.0,80.0,6973.3,9.0,0,0,204.0,195.0,-73.922916,40.830975
1245,55,2609681.34,59446.0,1930.0,1,100,226999.8,231.3,62.3,79.5,0.0,0.0,1.31212,0.89157,0.0,53.0,0.89157,0.0,80.0,6042.0,7.0,0,0,204.0,195.0,-73.923032,40.830774
1280,58,2609681.34,111270.0,1935.0,1,100,872669.6045350895,0.0,271.26010247590347,79.5,0.0,0.0,0.80884,0.701,0.0,78.0,0.701,0.0,100.0,4594.425778134381,0.0,0,0,207.0,413.0,-73.886143,40.871881
1281,59,2609681.34,69104.0,1928.0,1,100,401185.2,256.2,112.7,79.5,0.0,0.0,1.23003,0.95508,0.0,66.0,0.95508,100.0,100.0,4594.425778134381,19.0,0,0,207.0,40701.0,-73.888752,40.872853
1289,58,2609681.34,58560.0,1928.0,1,100,872669.6045350895,0.0,271.26010247590347,79.5,0.0,0.0,1.4,1.2,0.0,0.0,0.0,100.0,100.0,4594.425778134381,0.0,0,0,204.0,201.0,-73.926043,40.842293
1293,58,2609681.34,54115.0,1929.0,1,100,872669.6045350895,0.0,271.26010247590347,79.5,0.0,0.0,1.4,1.09027,0.0,59.0,1.09027,100.0,100.0,4594.425778134381,0.0,0,0,212.0,408.0,-73.864429,40.88786849
1301,63,2609681.34,90650.0,1940.0,1,100,343532.7,317.1,97.7,79.5,0.0,0.0,1.24655,0.9487,0.0,86.0,0.9487,90.0,100.0,6127.6,8.0,0,0,207.0,257.0,-73.913243,40.860663
1302,59,2609681.34,70400.0,1931.0,1,100,278951.9,235.4,78.1,79.5,0.0,0.0,1.05114,0.9233,0.0,65.0,0.9233,90.0,100.0,4711.6,8.0,0,0,207.0,257.0,-73.913674,40.860342
1303,97,2609681.34,70400.0,1932.0,1,100,234531.0,116.9,67.5,79.5,0.0,0.0,1.02273,0.9233,0.0,65.0,0.9233,90.0,100.0,4008.5,9.0,0,0,207.0,257.0,-73.913829,40.860224
1304,69,2609681.34,158530.0,1963.0,1,100,885284.0,456.8,246.2,79.5,0.0,0.0,1.5076,0.99666,0.99666,0.0,0.0,90.0,100.0,10387.4,6.0,0,0,204.0,22703.0,-73.911464,40.844479
